vmware/photon-2.0-kube-proxy-amd64,v1.10.2-20180619,2018/06/19,17,94,117,76,0,304
balenalib/beaglebone-black-fedora-node,36-build-20230712,2023/07/17,0,1,1,0,0,2
airbyte/destination-iceberg,0.1.4,2023/07/27,68,191,181,15,0,455
balenalib/revpi-core-3-node,20230530,2023/07/02,118,38,41,6,0,203
onlyoffice/docs-proxy-de,7.5.1-1,2023/11/09,0,2,1,1,0,4
mattermost/release-bot,v0.0.1,2022/12/28,0,0,1,0,0,1
balenalib/fincm3-debian-python,20230530,2023/06/27,118,37,40,6,0,201
docker/resource-usage-extension,1.0.3,2023/05/25,0,8,4,3,0,15
balenalib/fincm3-openjdk,20230530,2023/07/04,143,72,46,6,0,267
bellsoft/liberica-openjdk-alpine-musl,21.0.1-12,2023/11/14,0,0,4,0,0,4
rancher/kibana,5.6.4,2017/11/08,50,130,107,42,20,349
google/dart-runtime,2.16-beta,2021/12/13,190,104,123,39,9,465
cockroachdb/example-orms-builder,20200729-1723,2020/07/29,922,1012,916,175,26,3051
airbyte/source-secoda,0.1.0,2022/11/08,0,17,27,1,0,45
rancher/library-traefik,2.4.9,2021/06/22,4,18,37,4,0,63
snyk/snyk-iac-rules,1.8.0,2023/06/05,0,4,2,0,0,6
airbyte/source-bamboo-hr,0.2.2,2022/10/06,77,38,40,3,0,158
astronomerinc/ap-configmap-reloader,0.12.0,2023/10/04,null
onlyoffice/docs-proxy,7.5.1-1,2023/11/09,0,2,1,1,0,4
rancher/confd,v0.12.0-alpha3,2017/02/10,1,36,13,3,0,53
balenalib/zynq-xz702-python,20220604,2022/06/12,124,81,76,20,0,301
intel/intel-optimized-clickhouse,23.11_oh,2023/04/24,48,53,6,0,0,107
grafana/enterprise-logs,v1.8.4,2023/10/18,0,2,5,0,0,7
objectscale/dell-supportassist-ese,2.71.3,2021/04/14,264,611,13,0,0,888
bitnami/wavefront-proxy-archived,12.4.0,2023/06/14,75,24,18,2,0,119
onlyoffice/documentserver-develop,develop,2022/10/24,364,1125,79,0,0,1568
rancher/mirrored-prom-prometheus,v2.18.2,2020/06/09,2,22,28,0,0,52
balenalib/armv7hf-golang,20230929,2023/10/02,441,111,74,9,0,635
grafana/otel-lgtm,0.1.0,2023/11/03,157,80,29,0,0,266
okteto/nginx,alpine,2018/11/13,2,18,6,5,0,31
airbyte/source-teradata,0.1.0,2023/04/06,61,183,134,2,0,380
onlyoffice/doc-builder-testing,next-release,2023/11/21,501,222,56,3,2,784
cockroachdb/visus,v0.2.0,2023/11/05,null
