name,version,総検出数,内包数,使用回数
pcre,8.41-1.ph2,4,2,2
pcre-devel,8.41-1.ph2,2,2,1
python-xml,2.7.13-13.ph2,19,19,1
python2,2.7.13-13.ph2,76,19,4
python2-devel,2.7.13-13.ph2,76,19,4
python2-libs,2.7.13-13.ph2,76,19,4
sqlite,3.21.0-1.ph2,140,28,5
sqlite-devel,3.21.0-1.ph2,140,28,5
systemd,233-15.ph2,45,15,3
tcpdump,4.9.2-1.ph2,28,28,1
Pygments,2.3.1,3,3,1
azure-cli,2.0.53,1,1,1
github.com/aws/aws-sdk-go,v1.27.3,4,4,1
grpcio,1.41.1,3,3,1
bind-export-libs,32:9.11.4-26.P2.el7_9.14,3,1,3
openssh,7.4p1-23.0.1.el7_9,3,1,3
openssh-clients,7.4p1-23.0.1.el7_9,3,1,3
openssh-server,7.4p1-23.0.1.el7_9,3,1,3
python,2.7.5-93.0.1.el7_9,3,1,3
python-libs,2.7.5-93.0.1.el7_9,3,1,3
rsyslog,8.24.0-57.0.3.el7_9.3,3,1,3
github.com/gin-gonic/gin,v1.7.2,6,3,2
k8s.io/apiserver,v0.17.0,1,1,1
python3-unbound,1.16.2-5.el8,4,2,2
unbound-libs,1.16.2-5.el8,4,2,2
github.com/apache/thrift,v0.0.0-20181211084444-2b7365c54f82,1,1,1
github.com/jaegertracing/jaeger,v1.18.1,1,1,1
golang.org/x/crypto,v0.0.0-20210711020723-a769d52b0f97,20,2,10
google.golang.org/grpc,v1.39.1,6,2,3
libtiff5,4.0.8-2+deb9u2,175,25,7
nginx,1.15.2-1~stretch,3,3,1
helm.sh/helm/v3,v3.7.0,5,5,1
libcurl4-openssl-dev,7.74.0-1.3+b1,140,35,4
libgmp-dev,2:6.2.1+dfsg-1,4,1,4
libgmpxx4ldbl,2:6.2.1+dfsg-1,4,1,4
bundler,2.2.32,1,1,1
cgi,0.2.1,1,1,1
time,0.1.0,4,1,4
uri,0.10.1,4,2,2
bind-utils,9.16.6-150300.22.16.1,3,3,1
glibc-devel,2.31-150300.37.1,8,2,4
libbind9-1600,9.16.6-150300.22.16.1,3,3,1
libdns1605,9.16.6-150300.22.16.1,3,3,1
libirs1601,9.16.6-150300.22.16.1,3,3,1
libisc1606,9.16.6-150300.22.16.1,3,3,1
libisccc1600,9.16.6-150300.22.16.1,3,3,1
libisccfg1600,9.16.6-150300.22.16.1,3,3,1
libns1604,9.16.6-150300.22.16.1,3,3,1
libpcre2-8-0,10.31-150000.3.7.1,2,1,2
libpython3_6m1_0,3.6.15-150300.10.27.1,24,6,4
python3,3.6.15-150300.10.27.1,6,6,1
python3-base,3.6.15-150300.10.27.1,24,6,4
python3-bind,9.16.6-150300.22.16.1,3,3,1
systemd,246.16-150300.7.48.1,10,2,5
systemd-presets-common-SUSE,15-150100.8.12.1,5,1,5
telnet,1.2-3.3.1,1,1,1
udev,246.16-150300.7.48.1,10,2,5
github.com/rancher/wrangler,v0.8.10,2,2,1
k8s.io/kubernetes,v1.23.6,21,7,3
apport,2.20.11-0ubuntu82.2,4,2,2
avahi-daemon,0.8-5ubuntu5,24,6,4
bind9-host,1:9.18.1-1ubuntu1.2,14,7,2
bind9-libs,1:9.18.1-1ubuntu1.2,14,7,2
binutils,2.38-4ubuntu2,120,24,5
binutils-common,2.38-4ubuntu2,120,24,5
binutils-x86-64-linux-gnu,2.38-4ubuntu2,120,24,5
curl,7.81.0-1ubuntu1.6,112,14,8
gcc-11-multilib,11.3.0-1ubuntu1~22.04,12,3,4
gcc-multilib,4:11.2.0-1ubuntu1,4,1,4
gstreamer1.0-gl,1.20.1-1,8,2,4
gstreamer1.0-plugins-base,1.20.1-1,8,2,4
gstreamer1.0-plugins-good,1.20.3-0ubuntu1,4,1,4
gstreamer1.0-x,1.20.1-1,8,2,4
krb5-locales,1.19.2-2,4,2,2
lib32asan6,11.3.0-1ubuntu1~22.04,12,3,4
lib32atomic1,12.1.0-2ubuntu1~22.04,4,1,4
lib32gcc-11-dev,11.3.0-1ubuntu1~22.04,12,3,4
lib32gcc-s1,12.1.0-2ubuntu1~22.04,5,1,5
lib32gomp1,12.1.0-2ubuntu1~22.04,4,1,4
lib32itm1,12.1.0-2ubuntu1~22.04,4,1,4
lib32quadmath0,12.1.0-2ubuntu1~22.04,4,1,4
lib32stdc++6,12.1.0-2ubuntu1~22.04,5,1,5
lib32ubsan1,12.1.0-2ubuntu1~22.04,4,1,4
libavahi-core7,0.8-5ubuntu5,24,6,4
libbinutils,2.38-4ubuntu2,120,24,5
libc6-dev-i386,2.35-0ubuntu3.1,20,5,4
libc6-dev-x32,2.35-0ubuntu3.1,20,5,4
libc6-x32,2.35-0ubuntu3.1,20,5,4
libctf-nobfd0,2.38-4ubuntu2,120,24,5
libctf0,2.38-4ubuntu2,120,24,5
libcurl4,7.81.0-1ubuntu1.6,112,14,8
libgstreamer-gl1.0-0,1.20.1-1,8,2,4
libgstreamer-plugins-base1.0-0,1.20.1-1,8,2,4
libgstreamer-plugins-good1.0-0,1.20.3-0ubuntu1,4,1,4
libjavascriptcoregtk-4.0-18,2.38.2-0ubuntu0.22.04.2,46,23,2
libksba8,1.6.0-2ubuntu0.1,5,1,5
libnautilus-extension1a,1:42.2-0ubuntu1,2,1,2
libpython3.10-minimal,3.10.6-1~22.04.1,12,4,3
libpython3.10-stdlib,3.10.6-1~22.04.1,12,4,3
libtiff5,4.3.0-6ubuntu0.3,75,25,3
libwebkit2gtk-4.0-37,2.38.2-0ubuntu0.22.04.2,46,23,2
libx11-doc,2:1.7.5-1,16,4,4
libx32asan6,11.3.0-1ubuntu1~22.04,12,3,4
libx32atomic1,12.1.0-2ubuntu1~22.04,4,1,4
libx32gcc-11-dev,11.3.0-1ubuntu1~22.04,12,3,4
libx32gcc-s1,12.1.0-2ubuntu1~22.04,4,1,4
libx32gomp1,12.1.0-2ubuntu1~22.04,4,1,4
libx32itm1,12.1.0-2ubuntu1~22.04,4,1,4
libx32quadmath0,12.1.0-2ubuntu1~22.04,4,1,4
libx32stdc++6,12.1.0-2ubuntu1~22.04,4,1,4
libx32ubsan1,12.1.0-2ubuntu1~22.04,4,1,4
linux-libc-dev,5.15.0-56.62,852,284,3
python3-apport,2.20.11-0ubuntu82.2,4,2,2
python3-problem-report,2.20.11-0ubuntu82.2,4,2,2
python3.10,3.10.6-1~22.04.1,12,4,3
python3.10-minimal,3.10.6-1~22.04.1,12,4,3
udev,249.11-0ubuntu3.6,4,2,2
xserver-common,2:21.1.3-2ubuntu2.3,20,10,2
xserver-xorg-core,2:21.1.3-2ubuntu2.3,20,10,2
xserver-xorg-legacy,2:21.1.3-2ubuntu2.3,20,10,2
com.google.protobuf:protobuf-java,3.1.0,30,5,6
commons-fileupload:commons-fileupload,1.3.2,16,2,8
org.apache.calcite.avatica:avatica-core,1.10.0,6,1,6
org.apache.calcite:calcite-core,1.13.0,12,2,6
org.apache.hadoop:hadoop-common,2.7.4,30,5,6
org.apache.solr:solr-core,7.2.1,42,7,6
org.apache.zookeeper:zookeeper,3.4.10,12,2,6
org.eclipse.jetty.http2:http2-hpack,9.4.35.v20201120,4,1,4
org.eclipse.jetty.http2:http2-server,9.4.35.v20201120,4,1,4
org.eclipse.jetty:jetty-deploy,9.4.35.v20201120,4,1,4
org.eclipse.jetty:jetty-openid,9.4.35.v20201120,3,1,3
engine.io,6.4.1,1,1,1
express-hbs,2.4.0,2,1,2
ghost,5.52.0,1,1,1
socket.io-parser,4.2.2,1,1,1
systeminformation,5.15.1,1,1,1
validator,13.0.0,2,2,1
golang.org/x/crypto,v0.0.0-20200820211705-5c72a883971a,24,3,8
golang.org/x/net,v0.0.0-20200813134508-3edf25e44fcc,77,7,11
github.com/crewjam/saml,v0.4.1,12,4,3
github.com/grafana/loki,v1.6.0,3,1,3
github.com/russellhaering/goxmldsig,v0.0.0-20200902171629-2e1fbc2c5593,18,6,3
glibc,2.28-211.el8,24,7,3
glibc-common,2.28-211.el8,24,7,3
platform-python,3.6.8-48.el8_7.1.alma,2,2,1
python3-libs,3.6.8-48.el8_7.1.alma,2,2,1
systemd-libs,239-68.el8_7.4,13,3,4
github.com/labstack/echo/v4,v4.7.2,2,1,2
golang.org/x/sys,v0.0.0-20211103235746-7861aae1554b,2,1,2
nginx,1.14.2-1~stretch,3,3,1
apk-tools,2.12.5-r1,2,1,2
busybox,1.33.1-r2,24,12,2
libretls,3.3.3-r0,2,1,2
ssl_client,1.33.1-r2,24,12,2
libcrypto1.0,1.0.2o-r1,7,5,1
libssl1.0,1.0.2o-r1,7,5,1
openssl,1.0.2o-r1,7,5,1
wget,1.18-r4,1,1,1
apk-tools,2.12.4-r0,8,2,4
busybox,1.32.1-r5,52,13,4
git,2.30.2-r0,8,4,2
libcurl,7.77.0-r1,36,18,2
ssl_client,1.32.1-r5,52,13,4
golang.org/x/sys,v0.0.0-20190310054646-10058d7d4faa,4,1,4
github.com/grafana/grafana,v5.2.4+incompatible,8,8,1
golang.org/x/sys,v0.0.0-20200918174421-af09f7315aff,1,1,1
gopkg.in/macaron.v1,v1.3.1,1,1,1
gopkg.in/yaml.v3,v3.0.0-20191010095647-fc94e3f71652,1,1,1
golang.org/x/sys,v0.0.0-20210317225723-c4fcb01b228e,5,1,5
golang.org/x/net,v0.0.0-20220407224826-aac1ed45d8e3,15,5,3
golang.org/x/sys,v0.0.0-20220408201424-a24fb2fb8a0f,3,1,3
avahi-utils,0.8-10,5,5,1
put,0.0.6,2,2,1
github.com/prometheus/alertmanager,v0.25.0-rc.0.0.20221216141313-26cbd6bd862e,2,1,2
expat,2.2.0-r0,3,1,3
freetype,2.7-r1,15,3,5
python3,3.5.2-r10,6,2,3
sqlite-libs,3.15.2-r0,8,2,4
numpy,1.14.0,15,5,3
scipy,1.0.0,3,1,3
golang.org/x/sys,v0.0.0-20200905004654-be1d3432aa8f,1,1,1
@babel/traverse,7.21.3,1,1,1
axios,0.24.0,5,1,5
dottie,2.0.3,1,1,1
fast-xml-parser,4.1.2,2,1,2
bash,4.3.30-10.ph1,8,4,2
glibc,2.22-13.ph1,56,28,2
gnutls,3.5.15-1.ph1,15,5,3
json-c,0.12-2.ph1,2,1,2
libgcrypt,1.7.6-2.ph1,12,6,2
librelp,1.2.9-2.ph1,2,1,2
libtasn1,4.12-1.ph1,6,2,3
nettle,3.2-2.ph1,12,4,3
rsyslog,8.15.0-6.ph1,8,4,2
systemd,228-38.ph1,34,17,2
tar,1.29-1.ph1,12,4,3
libudev1,245.4-4ubuntu3.18,21,3,7
pip,22.3,4,1,4
torch,1.12.1+cpu,1,1,1
nginx,1.13.12-1~stretch,3,3,1
Babel,2.7.0,2,1,2
Jinja2,2.10.3,3,1,3
Pillow,6.2.0,76,38,2
Pygments,2.4.2,9,3,3
bleach,3.1.0,12,4,3
distributed,1.28.1,4,2,2
ipython,5.8.0,8,2,4
jupyter-core,4.5.0,3,1,3
jupyterlab,0.33.11,2,1,2
mpmath,1.1.0,2,1,2
nbconvert,5.6.0,2,1,2
nltk,3.4.5,6,3,2
notebook,5.7.8,10,5,2
numpy,1.16.5,8,4,2
py,1.8.0,4,2,2
scipy,1.2.1,2,1,2
tornado,5.1.1,8,2,4
org.apache.tomcat:tomcat-catalina,8.5.30,4,2,2
org.apache.tomcat:tomcat-coyote,8.5.30,4,2,2
binutils,2.33.1-r0,5,1,5
c-ares,1.15.0-r0,1,1,1
gcc,9.2.0-r4,3,1,3
libatomic,9.2.0-r4,3,1,3
libgomp,9.2.0-r4,3,1,3
musl-dev,1.1.24-r2,3,1,3
nodejs,12.15.0-r1,21,21,1
clamav,0.103.6+dfsg-0ubuntu0.18.04.1,2,2,1
clamav-base,0.103.6+dfsg-0ubuntu0.18.04.1,2,2,1
clamav-daemon,0.103.6+dfsg-0ubuntu0.18.04.1,2,2,1
clamav-freshclam,0.103.6+dfsg-0ubuntu0.18.04.1,2,2,1
clamdscan,0.103.6+dfsg-0ubuntu0.18.04.1,2,2,1
curl,7.58.0-2ubuntu3.21,14,7,2
dnsmasq-base,2.79-1ubuntu0.6,1,1,1
firefox,107.0+build2-0ubuntu0.18.04.1,66,66,1
ghostscript,9.26~dfsg+0-0ubuntu0.18.04.17,1,1,1
git,1:2.17.1-1ubuntu0.13,14,7,2
git-man,1:2.17.1-1ubuntu0.13,14,7,2
imagemagick,8:6.9.7.4+dfsg-16ubuntu6.14,2,2,1
imagemagick-6-common,8:6.9.7.4+dfsg-16ubuntu6.14,2,2,1
imagemagick-6.q16,8:6.9.7.4+dfsg-16ubuntu6.14,2,2,1
libasn1-8-heimdal,7.5.0+dfsg-1ubuntu0.1,24,6,4
libc-ares2,1.14.0-1ubuntu0.1,2,1,2
libclamav9,0.103.6+dfsg-0ubuntu0.18.04.1,2,2,1
libcupsimage2,2.2.7-1ubuntu2.9,1,1,1
libcurl3-gnutls,7.58.0-2ubuntu3.21,7,7,1
libcurl4,7.58.0-2ubuntu3.21,14,7,2
libgs9,9.26~dfsg+0-0ubuntu0.18.04.17,1,1,1
libgs9-common,9.26~dfsg+0-0ubuntu0.18.04.17,1,1,1
libgssapi3-heimdal,7.5.0+dfsg-1ubuntu0.1,24,6,4
libhcrypto4-heimdal,7.5.0+dfsg-1ubuntu0.1,24,6,4
libheimbase1-heimdal,7.5.0+dfsg-1ubuntu0.1,24,6,4
libheimntlm0-heimdal,7.5.0+dfsg-1ubuntu0.1,24,6,4
libhx509-5-heimdal,7.5.0+dfsg-1ubuntu0.1,24,6,4
libkpathsea6,2017.20170613.44572-8ubuntu0.1,1,1,1
libkrb5-26-heimdal,7.5.0+dfsg-1ubuntu0.1,24,6,4
libksba8,1.3.5-2ubuntu0.18.04.1,3,1,3
libmagickcore-6.q16-3,8:6.9.7.4+dfsg-16ubuntu6.14,2,2,1
libmagickcore-6.q16-3-extra,8:6.9.7.4+dfsg-16ubuntu6.14,2,2,1
libmagickwand-6.q16-3,8:6.9.7.4+dfsg-16ubuntu6.14,2,2,1
libmysqlclient20,5.7.40-0ubuntu0.18.04.1,4,4,1
libnautilus-extension1a,1:3.26.4-0~ubuntu18.04.5,1,1,1
libnss-myhostname,237-3ubuntu10.56,1,1,1
libnss-systemd,237-3ubuntu10.56,1,1,1
libnss3,2:3.35-2ubuntu2.15,3,1,3
libnss3-tools,2:3.35-2ubuntu2.15,1,1,1
libpam-systemd,237-3ubuntu10.56,1,1,1
libperl5.26,5.26.1-6ubuntu0.6,2,1,2
libpq5,10.22-0ubuntu0.18.04.1,4,2,2
libprotobuf10,3.0.0-9.1ubuntu1,3,3,1
libpython2.7,2.7.17-1~18.04ubuntu1.8,1,1,1
libpython2.7-dev,2.7.17-1~18.04ubuntu1.8,1,1,1
libpython3.6,3.6.9-1~18.04ubuntu1.8,8,2,4
libpython3.6-dev,3.6.9-1~18.04ubuntu1.8,6,2,3
libroken18-heimdal,7.5.0+dfsg-1ubuntu0.1,24,6,4
libruby2.5,2.5.1-1ubuntu1.12,6,3,2
libssl-dev,1.1.1-1ubuntu2.1~18.04.20,8,8,1
libtiff5,4.0.9-5ubuntu0.9,12,12,1
libwind0-heimdal,7.5.0+dfsg-1ubuntu0.1,24,6,4
libxml2,2.9.4+dfsg1-6.1ubuntu1.7,20,4,5
libxml2-dev,2.9.4+dfsg1-6.1ubuntu1.7,4,4,1
linux-headers-4.15.0-163,4.15.0-163.171,202,202,1
linux-headers-4.15.0-163-generic,4.15.0-163.171,202,202,1
linux-headers-4.15.0-200,4.15.0-200.211,59,59,1
linux-headers-4.15.0-200-generic,4.15.0-200.211,59,59,1
linux-libc-dev,4.15.0-200.211,59,59,1
nautilus,1:3.26.4-0~ubuntu18.04.5,1,1,1
nautilus-data,1:3.26.4-0~ubuntu18.04.5,1,1,1
openjdk-11-jdk,11.0.17+8-1ubuntu2~18.04,9,9,1
openjdk-11-jdk-headless,11.0.17+8-1ubuntu2~18.04,9,9,1
openjdk-11-jre,11.0.17+8-1ubuntu2~18.04,9,9,1
openjdk-11-jre-headless,11.0.17+8-1ubuntu2~18.04,9,9,1
perl,5.26.1-6ubuntu0.6,2,1,2
perl-modules-5.26,5.26.1-6ubuntu0.6,2,1,2
postgresql-10,10.22-0ubuntu0.18.04.1,2,2,1
postgresql-client-10,10.22-0ubuntu0.18.04.1,4,2,2
python-pip,9.0.1-2.3~ubuntu1.18.04.5,2,2,1
python2.7-dev,2.7.17-1~18.04ubuntu1.8,1,1,1
python3-protobuf,3.0.0-9.1ubuntu1,3,3,1
python3.6-dev,3.6.9-1~18.04ubuntu1.8,6,2,3
python3.6-venv,3.6.9-1~18.04ubuntu1.8,2,2,1
ruby2.5,2.5.1-1ubuntu1.12,6,3,2
ruby2.5-dev,2.5.1-1ubuntu1.12,3,3,1
ruby2.5-doc,2.5.1-1ubuntu1.12,3,3,1
snapd,2.57.5+18.04ubuntu0.1,1,1,1
systemd,237-3ubuntu10.56,1,1,1
systemd-sysv,237-3ubuntu10.56,1,1,1
udev,237-3ubuntu10.56,2,1,2
vim,2:8.0.1453-1ubuntu1.9,106,53,2
vim-common,2:8.0.1453-1ubuntu1.9,106,53,2
vim-runtime,2:8.0.1453-1ubuntu1.9,106,53,2
xserver-common,2:1.19.6-1ubuntu4.12,8,8,1
xserver-xephyr,2:1.19.6-1ubuntu4.12,8,8,1
xserver-xorg-core,2:1.19.6-1ubuntu4.12,8,8,1
xserver-xorg-legacy,2:1.19.6-1ubuntu4.12,8,8,1
xwayland,2:1.19.6-1ubuntu4.12,8,8,1
xxd,2:8.0.1453-1ubuntu1.9,106,53,2
io.github.skylot:jadx-core,1.2.0,2,2,1
io.github.skylot:jadx-plugins-api,1.2.0,1,1,1
cached-path-relative,1.0.2,3,1,3
markdown-it,12.0.2,2,1,2
qs,6.10.2,1,1,1
qs,6.9.6,7,1,7
vm2,3.9.5,20,10,2
GitPython,3.1.18,8,4,2
PyPDF2,1.26.0,2,2,1
Pygments,2.11.0,1,1,1
bottle,0.12.19,1,1,1
dnslib,0.9.16,1,1,1
gevent,21.12.0,3,1,3
ipython,7.16.2,2,2,1
mitmproxy,5.3.0,2,2,1
paramiko,2.9.1,1,1,1
pydash,5.1.0,1,1,1
scipy,1.5.4,2,1,2
ujson,4.3.0,3,3,1
untangle,1.1.1,2,2,1
System.Data.SqlClient,4.8.4,1,1,1
github.com/nats-io/nats-server/v2,v2.9.18,1,1,1
org.eclipse.jetty.http2:http2-hpack,9.4.31.v20200723,1,1,1
org.eclipse.jetty.http2:http2-server,9.4.31.v20200723,1,1,1
org.eclipse.jetty:jetty-openid,9.4.31.v20200723,1,1,1
org.eclipse.jetty:jetty-servlets,9.4.31.v20200723,2,2,1
org.eclipse.jetty:jetty-webapp,9.4.31.v20200723,1,1,1
org.eclipse.jetty:jetty-xml,9.4.31.v20200723,1,1,1
g++-8,8.4.0-3ubuntu2,2,1,2
libarchive13,3.4.0-2ubuntu1,20,5,4
libstdc++-8-dev,8.4.0-3ubuntu2,2,1,2
openssh-client,1:8.2p1-4ubuntu0.3,6,2,3
openssh-server,1:8.2p1-4ubuntu0.3,4,2,2
openssh-sftp-server,1:8.2p1-4ubuntu0.3,4,2,2
horovod,0.22.1,2,1,2
libcjson-dev,1.7.10-1.1,2,1,2
libcjson1,1.7.10-1.1,2,1,2
libpython3.8-dev,3.8.10-0ubuntu1~20.04.4,24,6,4
libssl-dev,1.1.1f-1ubuntu2.15,22,11,2
linux-libc-dev,5.4.0-120.136,313,313,1
python3-numpy,1:1.17.4-5ubuntu3,8,4,2
python3.8-dev,3.8.10-0ubuntu1~20.04.4,24,6,4
Flask,2.1.2,2,1,2
linux-perf,6.1.55-1,99,99,1
libgsl23,2.5+dfsg-6build1,1,1,1
libgslcblas0,2.5+dfsg-6build1,1,1,1
libimage-magick-perl,8:6.9.10.23+dfsg-2.1ubuntu11.9,3,3,1
libimage-magick-q16-perl,8:6.9.10.23+dfsg-2.1ubuntu11.9,3,3,1
libmagick++-6.q16-8,8:6.9.10.23+dfsg-2.1ubuntu11.9,3,3,1
perlmagick,8:6.9.10.23+dfsg-2.1ubuntu11.9,3,3,1
golang.org/x/sys,v0.0.0-20200821140526-fda516888d29,4,1,4
k8s.io/client-go,v0.17.6,3,1,3
github.com/kubernetes-csi/external-snapshotter/v2,v2.1.1,2,1,2
apache-ant,1.9.6-10.ph1,4,4,1
apache-tomcat,8.5.23-1.ph1,23,23,1
binutils,2.29.1-3.ph1,65,65,1
cyrus-sasl,2.1.26-10.ph1,6,2,3
e2fsprogs,1.42.13-3.ph1,14,2,7
e2fsprogs-devel,1.42.13-3.ph1,2,2,1
elfutils,0.169-1.ph1,8,8,1
glibc-devel,2.22-21.ph1,17,17,1
go,1.8.1-2.ph1,35,35,1
krb5,1.16-1.ph1,18,6,3
libxml2,2.9.8-1.ph1,18,9,2
mercurial,4.5.3-1.ph1,5,5,1
nodejs,7.7.4-1.ph1,9,9,1
openjdk,1.8.0.141-2.ph1,79,79,1
openssl-devel,1.0.2o-2.ph1,15,15,1
perl,5.24.1-1.ph1,16,8,2
python2,2.7.13-5.ph1,34,17,2
python2-devel,2.7.13-5.ph1,17,17,1
python2-libs,2.7.13-5.ph1,34,17,2
rpm-build,4.13.0.1-4.ph1,8,4,2
rpm-devel,4.13.0.1-4.ph1,8,4,2
systemd,228-47.ph1,13,13,1
util-linux-devel,2.27.1-3.ph1,3,3,1
nginx,1.16.1-r2,2,1,2
com.amazonaws:aws-java-sdk-s3,1.12.39,1,1,1
com.fasterxml.jackson.core:jackson-databind,2.13.2,6,3,2
com.google.guava:guava,31.1-android,12,2,6
com.squareup.okio:okio,1.16.0,3,1,3
io.netty:netty-codec-http,4.1.52.Final,6,3,2
io.netty:netty-codec-http2,4.1.52.Final,6,3,2
io.netty:netty-handler,4.1.73.Final,3,1,3
org.apache.santuario:xmlsec,2.3.0,2,1,2
org.bouncycastle:bcprov-ext-jdk15on,1.70,5,1,5
org.jetbrains.kotlin:kotlin-stdlib,1.2.60,2,2,1
org.springframework.security:spring-security-core,5.5.1,2,2,1
org.springframework:spring-core,5.3.20,12,2,6
org.springframework:spring-web,5.3.20,6,1,6
org.xerial.snappy:snappy-java,1.1.0,12,4,3
curl,7.60.0-r1,20,10,2
libcurl,7.60.0-r1,20,10,2
org.apache.kafka:kafka-clients,2.8.0,2,1,2
golang.org/x/sys,v0.0.0-20190215142949-d0b11bdaac8a,2,1,2
addressable,2.5.0,1,1,1
bundler,1.14.6,3,3,1
bundler,1.7.6,2,2,1
ffi,1.9.18,1,1,1
httparty,0.14.0,1,1,1
jmespath,1.3.1,1,1,1
json,1.8.1,2,1,2
rake,10.1.0,1,1,1
rdoc,4.1.0,1,1,1
rdoc,4.2.0,1,1,1
nginx,1.25.2-1~bookworm,3,3,1
linux-libc-dev,5.15.0-86.96,276,92,3
vim,2:8.2.3995-1ubuntu2.12,48,12,4
vim-common,2:8.2.3995-1ubuntu2.12,48,12,4
vim-runtime,2:8.2.3995-1ubuntu2.12,48,12,4
xxd,2:8.2.3995-1ubuntu2.12,48,12,4
apt-transport-https,1.2.26,3,3,1
apt-utils,1.2.26,3,3,1
curl,7.47.0-1ubuntu2.7,45,15,3
gnupg-agent,2.1.11-6ubuntu2,1,1,1
gnupg-curl,1.4.20-1ubuntu3.1,2,2,1
gnupg2,2.1.11-6ubuntu2,1,1,1
libapt-inst2.0,1.2.26,3,3,1
libc-dev-bin,2.23-0ubuntu10,132,12,11
libc6-dev,2.23-0ubuntu10,132,12,11
libcurl3-gnutls,7.47.0-1ubuntu2.7,45,15,3
libexpat1-dev,2.1.0-7ubuntu0.16.04.3,12,2,6
libjs-underscore,1.7.0~dfsg-1ubuntu1,1,1,1
libperl5.22,5.22.1-9ubuntu0.3,24,8,3
libpython2.7,2.7.12-1ubuntu0~16.04.3,80,20,4
libpython2.7-dev,2.7.12-1ubuntu0~16.04.3,80,20,4
libpython3.5,3.5.2-2ubuntu0~16.04.4,110,22,5
libpython3.5-dev,3.5.2-2ubuntu0~16.04.4,22,22,1
libssl-dev,1.0.2g-1ubuntu4.12,26,13,2
linux-libc-dev,4.4.0-124.148,780,390,2
locales,2.23-0ubuntu10,12,12,1
patch,2.7.5-1ubuntu0.16.04.1,36,3,12
perl,5.22.1-9ubuntu0.3,24,8,3
perl-modules-5.22,5.22.1-9ubuntu0.3,24,8,3
python-apt,1.1.0~beta1ubuntu0.16.04.1,3,3,1
python-cryptography,1.2.3-1ubuntu0.1,3,1,3
python-jinja2,2.8-1,4,2,2
python-openssl,0.15.1-2build1,6,2,3
python-pip,8.1.1-2ubuntu0.4,6,1,6
python-pip-whl,8.1.1-2ubuntu0.4,6,1,6
python-psutil,3.4.2-1,1,1,1
python-requests,2.9.1-3,3,1,3
python-urllib3,1.13.1-2ubuntu0.16.04.1,9,3,3
python2.7-dev,2.7.12-1ubuntu0~16.04.3,80,20,4
python3-pip,8.1.1-2ubuntu0.4,1,1,1
python3.5-dev,3.5.2-2ubuntu0~16.04.4,22,22,1
github.com/grafana/loki,v1.6.2-0.20231004111112-07cbef92268a,3,1,3
github.com/docker/docker,v24.0.0-rc.2.0.20230531091251-8d67d0c1a8d2+incompatible,2,1,2
iperf,3.10.1-68.2,1,1,1
libicu-suse65_1,65.1-4.2.1,3,1,3
libicu65_1-ledata,65.1-4.2.1,3,1,3
libiperf0,3.10.1-68.2,1,1,1
libpq,10.10-r0,16,16,1
libxml2,2.9.9-r3,24,4,6
postgresql,10.10-r0,16,16,1
postgresql-client,10.10-r0,16,16,1
github.com/mattermost/mattermost-server/v5,v5.39.0,6,3,2
ca-certificates,2021.2.50-72.amzn2.0.4,3,3,1
cargo,1.61.0-2.amzn2.0.1,3,3,1
curl,7.79.1-7.amzn2.0.1,57,19,3
dbus,1:1.10.24-7.amzn2.0.2,9,3,3
dbus-libs,1:1.10.24-7.amzn2.0.2,9,3,3
kernel-headers,4.14.304-226.531.amzn2,48,48,1
libcurl,7.79.1-7.amzn2.0.1,57,19,3
libxml2,2.9.1-6.amzn2.5.6,30,6,5
nss,3.79.0-4.amzn2,4,1,4
nss-sysinit,3.79.0-4.amzn2,4,1,4
nss-tools,3.79.0-4.amzn2,4,1,4
openssl-devel,1:1.0.2k-24.amzn2.0.6,6,6,1
pcre-devel,8.32-17.amzn2.0.2,4,2,2
perl,4:5.16.3-299.amzn2.0.1,2,1,2
perl-Pod-Escapes,1:1.04-299.amzn2.0.1,2,1,2
perl-libs,4:5.16.3-299.amzn2.0.1,2,1,2
perl-macros,4:5.16.3-299.amzn2.0.1,2,1,2
python3,3.7.16-1.amzn2.0.1,2,2,1
python3-devel,3.7.16-1.amzn2.0.1,2,2,1
python3-libs,3.7.16-1.amzn2.0.1,2,2,1
rust,1.61.0-2.amzn2.0.1,3,3,1
rust-std-static,1.61.0-2.amzn2.0.1,3,3,1
systemd,219-78.amzn2.0.21,2,1,2
systemd-libs,219-78.amzn2.0.21,2,1,2
vim-data,2:9.0.1006-1.amzn2.0.1,43,43,1
vim-minimal,2:9.0.1006-1.amzn2.0.1,43,43,1
libcrypto1.1,1.1.1a-r1,108,12,9
libssl1.1,1.1.1a-r1,108,12,9
musl,1.1.20-r3,18,2,9
musl-utils,1.1.20-r3,18,2,9
openjdk8-jre-base,8.201.08-r0,122,61,2
openjdk8-jre-lib,8.201.08-r0,122,61,2
com.amazonaws:aws-java-sdk-s3,1.11.125,1,1,1
com.fasterxml.jackson.core:jackson-databind,2.9.7,55,55,1
com.fasterxml.jackson.dataformat:jackson-dataformat-cbor,2.9.7,1,1,1
com.google.oauth-client:google-oauth-client,1.22.0,2,2,1
com.jcraft:jsch,0.1.50,4,1,4
com.squareup.okio:okio,1.11.0,1,1,1
com.unboundid:unboundid-ldapsdk,3.2.1,1,1,1
io.grpc:grpc-protobuf,1.10.0,3,3,1
